NUMBER OF SCRIPLESS SHARES BASED ON INVESTOR TYPE AND CLASSIFICATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL SCRIPLESS
DATE;SHARE CODE;ISSUER NAME;BANK;GOVERNMENT;PRIVATE EQUITY;TRUSTEE BANK;VENTURE CAPITAL;PRIVATE BANK;EXCHANGE TRADED FUNDS;INVESTMENT MANAGER;INVESTMENT ADVISORS;BROKERAGE FIRMS;HEDGE FUND;SOVEREIGN WEALTH FUND;CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS;COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP;FIRM;INVESTMENT FUND SELLING AGENT;PEER TO PEER LENDING;PERMANENT ESTABLISHMENT;SOLE PROPRIETORSHIP;CORPORATE;ASSOCIATION/SOCIAL ORGANIZATIONS;STATE OWNED ENTERPRISES;CENTRAL BANK;STATE OWNED COMPANY;DIOCESE;CONFERENCE;CONGREGATION;COOPERATIVES;INTERNATIONAL ORGANIZATION;POLITICAL PARTIES;PARTNERSHIP;EDUCATIONAL INSTITUTION;MUTUAL FUNDS (MF);SECURITIES COMPANY (SC);PENSION FUNDS (PF);FINANCIAL INSTITUTIONAL (IB);INSURANCE (IS);FOUNDATION (FD);INDIVIDUAL (ID);
31-Mar-2026;APEX;APEXINDO PRATAMA DUTA Tbk;58,647,200;0;12,233,629;0;0;1,433,000;0;0;7,437,200;22;0;0;166,901;120,000;159,295,175;220,767,550;0;0;0;1,216,390,248;0;0;0;0;0;0;0;0;0;0;0;0;0;833,746,984;0;0;0;0;958,515,080;3,468,752,989
31-Mar-2026;APIC;PACIFIC STRATEGIC FINANCIAL Tbk;386,666,477;0;152,141,635;51,683,000;40,400,000;0;76,158,900;139,000,000;531,725,050;28;805,400;26,320,473;100;0;887,032,733;0;0;0;0;7,184,173,634;0;0;0;0;0;0;0;0;268,500;0;450,617,500;1,610,300;534,278,551;456,917,523;171,995,429;754,100;115,564,800;2,300,000;555,899,355;11,766,313,488
31-Mar-2026;APII;ARITA PRIMA INDONESIA Tbk;1,500,000;0;142,971,000;0;0;0;0;125,000;212,600;0;0;0;798,700;0;1,556,100;0;0;0;0;100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;34,960,100;0;0;0;0;92,400,500;274,624,000
31-Mar-2026;APLI;ASIAPLAST INDUSTRIES Tbk;0;0;0;0;0;0;0;0;90,800;500;0;0;100;0;0;0;0;0;0;216,696,400;0;0;0;0;0;0;0;0;0;0;0;0;0;696,700;0;0;0;0;545,085,900;762,570,400
31-Mar-2026;APLN;AGUNG PODOMORO LAND Tbk;281,533,964;0;260,000;0;0;22,550,341;80,200;0;37,931,088;200,109;0;0;1,760,100;100,000;0;0;0;0;0;19,017,701,180;0;1,595,800;0;0;0;0;0;390,000;0;0;4,586,600;0;152,700;174,294,481;16,234,800;0;3,688,600;700,000;3,135,566,816;22,699,326,779
31-Mar-2026;ARCI;ARCHI INDONESIA Tbk;23,027,562;5,954,200;1,600,000;9,771,700;2,673,900;10,381,500;126,819,073;29,424,700;19,854,061;10;35,000,000;266,271,900;167,000;2,243,100;50,000;0;22,100;0;0;21,355,325,216;0;0;0;21,687,600;400,000;400,000;0;1,000;0;0;0;6,860,700;642,181,400;587,955,955;82,811,300;3,235,500;598,980,000;9,449,200;1,392,451,323;25,235,000,000
31-Mar-2026;AREA;DUNIA VIRTUAL ONLINE Tbk;0;0;0;0;0;0;0;0;1,461,100;0;0;0;0;0;0;0;0;0;0;383,774,000;0;0;0;0;0;0;0;0;0;0;0;0;0;11,600;0;0;0;0;124,753,300;510,000,000
31-Mar-2026;ARGO;ARGO PANTES Tbk;5,301,100;0;0;0;0;0;0;0;170,800;2,000;0;0;12,600;0;0;0;0;0;0;659,757,914;0;0;0;0;0;0;0;0;0;0;0;0;0;70,100;0;4,000;45,000;0;2,803,500;668,167,014
31-Mar-2026;ARII;ATLAS RESOURCES Tbk;1,412,200;0;32,602,100;0;0;216,944,100;0;0;12,997,900;0;0;0;100;0;0;0;0;0;0;2,199,903,300;0;0;0;0;0;0;0;0;0;0;0;0;149,584,800;63,500;0;0;117,981,800;35,300;531,113,900;3,262,639,000
31-Mar-2026;ARKA;ARKHA JAYANTI PERSADA Tbk;0;0;0;0;0;0;0;0;0;0;0;0;100;0;7,500;0;0;0;0;1,092,802,700;0;0;0;0;0;0;0;0;0;0;0;0;0;1,163,400;0;0;0;0;904,776,300;1,998,750,000
31-Mar-2026;ARKO;ARKORA HYDRO Tbk;4,449,700;0;31,488,432;0;0;14,063,800;0;0;1,075,600;0;0;0;16,800;110,100;1,237,100;0;0;0;0;2,571,015,318;0;0;0;0;0;0;0;0;0;0;0;0;14,500;389,200;0;0;0;0;304,634,450;2,928,495,000
31-Mar-2026;ARMY;ARMIDIAN KARYATAMA Tbk;270,423,058;526,952,595;328,384,064;0;0;29,125,000;230,900;96,153,513;4,450,882;0;0;0;8,660,123;120,170;455,224,215;106,704;0;0;0;2,618,609,436;0;1,042,703,112;0;20,200;0;0;0;0;0;0;0;0;1,110,550,602;286,559,017;8,206,980;0;196,216,367;2,541,380;1,800,597,182;8,785,835,500
